"Code","Name","Category","Unit","Current Stock","Minimum Stock","Cost","Price","Current Stock Value","Current Stock Cost","Amount Sold","Quantity Sold","Profit","Image_Path"
"","Novex Super Aloe Vera Jelly 17.6oz","Novex ","unit","0",0,"4.2","6.3","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\novex_super_aloe_vera_jelly_17_6oz.webp"
"","Novex Super Aloe Vera Leave In 17.6oz ","Novex ","unit","48",0,"4.2","6.3","302.4","201.600",0,0,0,""
"","Novex Brazilian Keratin Concentrated Liquid 8.4oz ","Novex ","unit","0",0,"3.15","4.75","0","0",0,0,0,""
"","Novex Mascara tratamento Keratina 1kg ","Novex ","unit","138",0,"4.75","7.15","986.7","655.5","128.7","18","43.2",""
"","Novex Brazilian Keratin Shampoo 10oz ","Novex ","unit","636",0,"2.25","3.4","2162.4","1431","20.4","6","6.9",""
"","Novex Coconut Oil Conditioner 10oz ","Novex ","unit","0",0,"2.25","3.4","0","0",0,0,0,""
"","Novex Coconut Oil Hair Mask 1kg ","Novex ","unit","0",0,"4.75","7.15","0","0",0,0,0,""
"","Novex Coconut Oil Leave In 10.5oz ","Novex ","unit","0",0,"2.25","3.4","0","0",0,0,0,""
"","Novex Coconut Oil Shampoo 10oz ","Novex ","unit","0",0,"2.25","3.4","0","0",0,0,0,""
"","Novex Collagen Infusion Conditioner 10oz ","Novex ","unit","264",0,"2.25","3.4","897.6","594","20.4","6","6.9",""
"","Novex Collagen Infusion Hair Mask 1kg ","Novex ","unit","126",0,"4.75","7.15","900.900","598.5","128.7","18","43.2",""
"","Novex Collagen Infusion Hair Mask 14oz ","Novex ","unit","24",0,"2.4","3.6","86.4","57.599",0,0,0,""
"","Novex Collagen Infusion Leave In 10.5oz","Novex ","unit","156",0,"2.25","3.4","530.4","351","20.4","6","6.9","C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\novex_collagen_infusion_leave_in_10_5oz.webp"
"","Novex Collagen Infusion Shampoo 10oz ","Novex ","unit","0",0,"2.25","3.4","0","0",0,0,0,""
"","Novex Collagen Infusion Recharge 2.82oz ","Novex ","unit","119",0,"1.85","2.8","333.2","220.15",0,0,0,""
"","Novex Collagen Infusion Shampoo ","Novex ","unit","240",0,"2.25","3.4","816","540","20.4","6","6.9",""
"","Novex My Little Curls Spray Desembaraçador 4oz","Novex ","unit","0",0,"2.65","3.99","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\novex_my_little_curls_spray_desembara_ador_4oz.webp"
"","Palito de Dente c/3 ","Diversos","unit","0",0,"0.85","1.39","0","0",0,0,0,""
"","Panela de pressão 3 litros Uniware","Panelas","unit","0",0,"24.5","29.95","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\panela_de_press_o_3_litros_uniware.webp"
"","Panela de Pressão 5 litros uniware","","unit","0",0,"27.75","39.95","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\panela_de_press_o_5_litros_uniware.webp"
"","Pomada Quadriderm ","Pomadas","unit","0",0,"16.95","24.49","0","0",0,0,0,""
"","Levedo de Cerveja Sol Natus ","Suplementos ","unit","0",0,"36.45","36.45","0","0",0,0,0,""
"17891060815716","Mundial Alicate 522-C","Produtos de Unha ","unit","0",0,"5.44","8.16","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\mundial_alicate_522_c.webp"
"17891060695684","Mundial Lixa de Unha Aço ","Produtos de Unha ","unit","365",0,"0.5","1.05","383.25","182.5","12.6","12","6.6",""
"17891060773214","Mundial Cortador de Unha Pequeno ","Produtos de Unha ","unit","593",0,"0.58","1.1","652.300","343.94","33","30","15.6",""
"","Axe Desodorante Black Night (Unidade)","Desodorante ","unit","0",0,"22","33","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\axe_desodorante_black_night__unidade_.webp"
"","Axe Desodorante Marine c/12 150ml","Desodorante ","unit","0",0,"22","33","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\axe_desodorante_marine_c_12_150ml.webp"
"","Axe Desodorante Collision (Unidade)","Desodorante ","unit","0",0,"1.92","33","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\axe_desodorante_collision__unidade_.webp"
"","Novex Blindagem protetor térmico 400ml","Novex ","unit","108",0,"5.8","8.7","939.599","626.4","104.4","12","34.8","C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\novex_blindagem_protetor_t_rmico_400ml.webp"
"","Novex Blindagem protetor térmico 200ml","Novex ","unit","0",0,"3.15","4.75","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\novex_blindagem_protetor_t_rmico_200ml.webp"
"","Mel Rosada","","unit","10",0,"1.25","1.75","17.5","12.5",0,0,0,""
"","Novex My Curls Mascara 400g","Novex ","unit","0",0,"2.4","3.6","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\novex_my_curls_mascara_400g.webp"
"","Novex My Curls Mascara 1kg","Novex ","unit","0",0,"4.75","7.12","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\novex_my_curls_mascara_1kg.webp"
"","Novex My Curls Shampoo 300ml","Novex ","unit","174",0,"2.25","3.39","589.86","391.5",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\novex_my_curls_shampoo_300ml.webp"
"","Novex My Little Curls Mascara 400g ","Novex ","unit","0",0,"2.4","3.6","0","0",0,0,0,""
"","Novex My Curls Leave-in 500g","Farmácia ","unit","0",0,"4.2","6.3","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\novex_my_curls_leave_in_500g.webp"
"","Novex Côco Máscara 400g","Novex ","unit","0",0,"2.4","3.6","0","0",0,0,0,"C:\\Users\\abner\\OneDrive\\Documents\\Discover Supply\\kyte_images_optimized\\novex_c_co_m_scara_400g.webp"
"","Novex My Little Curls Ativador de Cachos ","Novex ","unit","42",0,"2.65","3.99","167.58","111.3","95.76","24","32.16",""
