"Code","Name","Category","Unit","Current Stock","Minimum Stock","Cost","Price","Current Stock Value","Current Stock Cost","Amount Sold","Quantity Sold","Profit"
"","Dove Desodorante Fresh Care Stick 50ml c/12","","unit","3",0,"14.76","22.95","68.85","44.28","45.9","2","16.38"
"","Dove Desodorante Men Care Stick 50ml - c/12","Desodorante ","unit","0",0,"26.16","39.9","0","0","199.5","5","68.7"
"","Dove Roll-On Cucumber 40ml - c/12","","unit","10",0,"14.76","22.95","229.5","147.6","86.8","3","29.28"
"","Xarope Dexmine 120ml","Farmácia ","unit","60",0,"12","16.8","1008","720","201.6","12","57.6"
"","Dove Desodorante Invisible Dry Stick 40 ml c/12","Desodorante ","unit","15",0,"26.16","39.9","598.5","392.4",0,0,0
"","Dove Roll-On Sensitive 40ml- c/12","","unit","18",0,"14.76","22.95","413.099","265.68","45.9","2","16.38"
"","Dove Roll-On Original 40ml- c/12","","unit","14",0,"14.76","22.95","321.3","206.64","91.8","4","32.76"
"","Dove Roll-On Invisible Dry 40ml- c/12","","unit","19",0,"14.76","22.95","436.05","280.44","22.95","1","8.19"
"","Bálsamo Colmavit c/12","","unit","","","25","34.9","","","34.9","1","9.9"
"","Maracugina Comprimido c/20","","unit","6",0,"18","25.25","151.5","108","101","4","29"
"","Maracugina Xarope 150ml","","unit","0",0,"18","25.45","0","0","101.8","4","29.8"
"","Seakalm Maracujá - Dia-c/20","","unit","7",0,"12","17.9","125.299","84","89.5","5","29.5"
"","Seakalm Maracujá - Noite-c/20","","unit","6",0,"12","17.9","107.399","72","89.5","5","29.5"
"","Belfaren Gel 10mg - unidade","Farmácia ","unit","5",0,"6","9.9","49.5","30","19.8","2","7.8"
"","Ritmoneuran Passiflora (Maracujá)","Farmácia ","unit","4",0,"12","17.9","71.6","48","214.8","12","70.8"
"","Guacoflus Guaco Xarope 150 mL","","unit","14",0,"6","9.9","138.6","84","653.4","66","257.4"
"","Baldoni Extrato de Própolis Própolis Silvestre 30ml","","unit","0",0,"3.5","5.25","0","0","26.25","5","8.75"
"","Dove Men+Care Energising Antitranspirante 150ml-c/12","","unit","13",0,"27","40.95","532.35","351","286.65","7","97.65"
"","Dove Pink - Sabonete em Barra c/12","Higiene Pessoal","unit","5",0,"10.5","15.75","78.75","52.5","63","4","21"
"","Dove Men+Care Classic Antitranspirante Spray 150ml c/12","Desodorante ","unit","5",0,"27","40.5","202.5","135","486","12","162"
"","Close-Up Creme Dental Ultra Cinnamon Flavor Blast Toothpaste 4.0 oz c/12","Higiene Pessoal","unit","20",0,"12.5","18.75","375","250",0,0,0
"","Colgate Creme Dental Regular 2.5oz c/12","Higiene Pessoal","unit","24",0,"10.75","16.45","394.799","258","49.35","3","17.1"
"","Band-Aid Flexible Fabric Bandages 30 Count c/12","","unit","18",0,"15","21.9","394.2","270","43.8","2","13.8"
"","Dove Original Sabonete White 135g c/12","Higiene Pessoal","unit","2",0,"10.5","15.75","31.5","21","110.25","7","36.75"
"","Dove Men+Care Fresh Antitranspirante 150ml  c/12","","unit","11",0,"27","40.5","445.5","297","324","8","108"
"","Tylenol Sinus Severe 50 Pouches","Farmácia","unit","1",0,"18.5","27.75","27.75","18.5","305.25","11","101.75"
"","Bubbaloo Banana Gum 47 Pieces","Balas","unit","35",0,"3.8","5.8","203","133","23.2","4","8"
